City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kaliua,-5.0606,31.7936,19.32,92,100,1.01,TZ,1678862213
83,grande-synthe,51.0154,2.2998,2.98,46,19,2.01,FR,1678862214
84,busselton,-33.65,115.3333,25.57,61,0,5.7,AU,1678862023
85,merauke,-8.4667,140.3333,28.23,76,100,2.77,ID,1678861985
86,constitucion,-35.3333,-72.4167,13.71,64,0,1.78,CL,1678862216
87,halifax,44.6453,-63.5724,3.58,96,100,5.14,CA,1678862037
88,hermanus,-34.4187,19.2345,22.11,90,100,7.49,ZA,1678862077
89,bengkulu,-3.8004,102.2655,28.94,67,59,3.41,ID,1678862103
90,albany,42.6001,-73.9662,0.76,85,100,5.36,US,1678861748
91,castro,-24.7911,-50.0119,17.12,99,100,3.05,BR,1678862218
92,hithadhoo,-0.6,73.0833,27.91,78,100,5.14,MV,1678861996
93,cochrane,51.1834,-114.4687,-3.85,62,20,3.09,CA,1678862113
94,hambantota,6.1241,81.1185,31.19,74,75,1.54,LK,1678862220
95,kapaa,22.0752,-159.319,24.18,90,40,7.72,US,1678862028
96,saint-pierre,-21.3393,55.4781,28.84,58,0,9.26,RE,1678862221
97,bathsheba,13.2167,-59.5167,26.34,69,40,7.72,BB,1678862064
98,georgetown,5.4112,100.3354,32.96,55,20,4.12,MY,1678862222
99,piacabucu,-10.4056,-36.4344,24.41,86,69,2.29,BR,1678862223
100,qasigiannguit,68.8193,-51.1922,-8.86,78,100,2.67,GL,1678862224
101,narsaq,60.9167,-46.05,-2.88,70,100,3.26,GL,1678862024
102,hay river,60.8156,-115.7999,-18.01,71,75,3.6,CA,1678861994
103,bambous virieux,-20.3428,57.7575,28.14,61,40,7.72,MU,1678862063
104,ahipara,-35.1667,173.1667,16.72,77,2,2.35,NZ,1678862226
105,salalah,17.0151,54.0924,28.05,57,40,1.54,OM,1678862113
106,puerto del rosario,28.5004,-13.8627,15.86,88,20,3.6,ES,1678862228
107,caravelas,-17.7125,-39.2481,22.97,88,6,1.26,BR,1678862229
